County,State,Cases,Level
Knox County,NE,6.9,Yellow
Lancaster County,NE,6.9,Yellow
Saline County,NE,7.0,Yellow
Kimball County,NE,7.9,Yellow
Sarpy County,NE,8.7,Yellow
Hamilton County,NE,9.2,Yellow
Dakota County,NE,10.0,Yellow
Dixon County,NE,10.1,Orange
Rock County,NE,10.5,Orange
Douglas County,NE,12.4,Orange
Sheridan County,NE,16.3,Orange
Banner County,NE,19.2,Orange
Hooker County,NE,20.9,Orange
Morrill County,NE,64.6,Red
Thurston County,NE,87.0,Red
Statewide Unallocated,NH,0.0,Green
Belknap County,NH,0.2,Green
Strafford County,NH,0.4,Green
Coos County,NH,0.5,Green
Grafton County,NH,0.6,Green
Merrimack County,NH,1.0,Yellow
Rockingham County,NH,1.1,Yellow
Cheshire County,NH,1.1,Yellow
Sullivan County,NH,1.3,Yellow
Carroll County,NH,1.8,Yellow
Hillsborough County,NH,3.0,Yellow
Statewide Unallocated,NJ,0.0,Green
Cape May County,NJ,0.6,Green
Hunterdon County,NJ,1.6,Yellow
Sussex County,NJ,2.0,Yellow
Union County,NJ,2.2,Yellow
Morris County,NJ,2.3,Yellow
Passaic County,NJ,2.5,Yellow
Middlesex County,NJ,2.6,Yellow
Hudson County,NJ,3.0,Yellow
Essex County,NJ,3.1,Yellow
Ocean County,NJ,3.2,Yellow
Warren County,NJ,3.4,Yellow
Somerset County,NJ,3.5,Yellow
Burlington County,NJ,4.0,Yellow
Bergen County,NJ,4.2,Yellow
Gloucester County,NJ,4.3,Yellow
Mercer County,NJ,4.4,Yellow
Monmouth County,NJ,4.6,Yellow
Atlantic County,NJ,5.3,Yellow
Camden County,NJ,5.5,Yellow
Cumberland County,NJ,7.2,Yellow
Salem County,NJ,10.5,Orange
Catron County,NM,0.0,Green
Colfax County,NM,0.0,Green
De Baca County,NM,0.0,Green
Harding County,NM,0.0,Green
Guadalupe County,NM,0.0,Green
Los Alamos County,NM,0.0,Green
Mora County,NM,0.0,Green
Quay County,NM,0.0,Green
Statewide Unallocated,NM,0.0,Green
San Miguel County,NM,0.5,Green
Socorro County,NM,0.9,Green
Lincoln County,NM,1.5,Yellow
Grant County,NM,3.2,Yellow
Union County,NM,3.5,Yellow
Taos County,NM,3.5,Yellow
Santa Fe County,NM,3.7,Yellow
Sierra County,NM,4.0,Yellow
Otero County,NM,4.2,Yellow
Sandoval County,NM,4.4,Yellow
Rio Arriba County,NM,4.8,Yellow
Torrance County,NM,5.5,Yellow
Valencia County,NM,7.6,Yellow
Chaves County,NM,8.2,Yellow
Eddy County,NM,8.3,Yellow
Bernalillo County,NM,8.6,Yellow
Roosevelt County,NM,10.8,Orange
Cibola County,NM,11.8,Orange
Curry County,NM,14.9,Orange
Dona Ana County,NM,15.3,Orange
Lea County,NM,16.3,Orange
Luna County,NM,16.9,Orange
San Juan County,NM,17.3,Orange
McKinley County,NM,33.2,Red
Hidalgo County,NM,44.2,Red
Esmeralda County,NV,0.0,Green
Eureka County,NV,0.0,Green
Lincoln County,NV,0.0,Green
Storey County,NV,0.0,Green
Statewide Unallocated,NV,0.0,Green
Humboldt County,NV,1.7,Yellow
Douglas County,NV,2.6,Yellow
Mineral County,NV,3.2,Yellow
Lyon County,NV,4.2,Yellow
White Pine County,NV,4.5,Yellow
Churchill County,NV,4.6,Yellow
Pershing County,NV,6.4,Yellow
Carson City,NV,7.2,Yellow
Lander County,NV,7.7,Yellow
Elko County,NV,8.9,Yellow
Nye County,NV,9.5,Yellow
Washoe County,NV,17.9,Orange
Clark County,NV,28.6,Red
Delaware County,NY,0.0,Green
Hamilton County,NY,0.0,Green
Washington County,NY,0.0,Green
New York City Unallocated,NY,0.0,Green
Statewide Unallocated,NY,0.0,Green
Genesee County,NY,0.2,Green
Montgomery County,NY,0.3,Green
Tompkins County,NY,0.4,Green
Orleans County,NY,0.4,Green
Clinton County,NY,0.4,Green
Otsego County,NY,0.5,Green
Schoharie County,NY,0.5,Green
Steuben County,NY,0.6,Green
Wyoming County,NY,0.7,Green
Cattaraugus County,NY,0.8,Green
St. Lawrence County,NY,0.8,Green
Schuyler County,NY,0.8,Green
Seneca County,NY,0.8,Green
Livingston County,NY,0.9,Green
Sullivan County,NY,0.9,Green
Greene County,NY,0.9,Green
Chautauqua County,NY,1.0,Yellow
Chemung County,NY,1.0,Yellow
Franklin County,NY,1.1,Yellow
Lewis County,NY,1.1,Yellow
Saratoga County,NY,1.1,Yellow
Allegany County,NY,1.2,Yellow
Jefferson County,NY,1.2,Yellow
Tioga County,NY,1.2,Yellow
Chenango County,NY,1.2,Yellow
Warren County,NY,1.3,Yellow
Oswego County,NY,1.3,Yellow
Rensselaer County,NY,1.3,Yellow
Cayuga County,NY,1.3,Yellow
Cortland County,NY,1.5,Yellow
Fulton County,NY,1.6,Yellow
Yates County,NY,1.7,Yellow
Putnam County,NY,1.9,Yellow
Madison County,NY,2.2,Yellow
Dutchess County,NY,2.2,Yellow
Orange County,NY,2.3,Yellow
Essex County,NY,2.3,Yellow
Albany County,NY,2.6,Yellow
Nassau County,NY,2.9,Yellow
Columbia County,NY,2.9,Yellow
Ontario County,NY,3.1,Yellow
Rockland County,NY,3.2,Yellow
Suffolk County,NY,3.3,Yellow
Herkimer County,NY,3.5,Yellow
Kings County,NY,3.6,Yellow
New York County,NY,3.7,Yellow
Broome County,NY,3.7,Yellow
Wayne County,NY,3.7,Yellow
Queens County,NY,3.8,Yellow
Erie County,NY,3.8,Yellow
Schenectady County,NY,3.9,Yellow
Richmond County,NY,3.9,Yellow
Westchester County,NY,3.9,Yellow
Niagara County,NY,4.0,Yellow
Onondaga County,NY,4.1,Yellow
Bronx County,NY,4.3,Yellow
Ulster County,NY,4.5,Yellow
Monroe County,NY,5.1,Yellow
Oneida County,NY,9.7,Yellow
Harrison County,OH,0.0,Green
Vinton County,OH,0.0,Green
Statewide Unallocated,OH,0.0,Green
Fayette County,OH,0.5,Green
Seneca County,OH,0.5,Green
Meigs County,OH,0.6,Green
Wyandot County,OH,0.7,Green
Scioto County,OH,0.8,Green
Paulding County,OH,0.8,Green
Hocking County,OH,1.0,Yellow
Adams County,OH,1.0,Yellow
Highland County,OH,1.0,Green
Champaign County,OH,1.1,Yellow
Henry County,OH,1.1,Yellow
Morrow County,OH,1.2,Yellow
Brown County,OH,1.3,Yellow
Fulton County,OH,1.4,Yellow
Wayne County,OH,1.5,Yellow
Pike County,OH,1.5,Yellow
Crawford County,OH,1.7,Yellow
Muskingum County,OH,1.7,Yellow
Hancock County,OH,1.7,Yellow
Union County,OH,1.9,Yellow
Defiance County,OH,1.9,Yellow
Logan County,OH,1.9,Yellow
Noble County,OH,2.0,Yellow
Washington County,OH,2.4,Yellow
Jefferson County,OH,2.4,Yellow
Marion County,OH,2.4,Yellow
Auglaize County,OH,2.5,Yellow
Lawrence County,OH,2.6,Yellow
Ashtabula County,OH,2.6,Yellow
Jackson County,OH,2.6,Yellow
Clinton County,OH,2.7,Yellow
Williams County,OH,2.7,Yellow
Portage County,OH,2.9,Yellow
Knox County,OH,3.0,Yellow
Perry County,OH,3.2,Yellow
Richland County,OH,3.2,Yellow
Gallia County,OH,3.3,Yellow
Erie County,OH,3.3,Yellow
Stark County,OH,3.5,Yellow
Geauga County,OH,3.5,Yellow
Madison County,OH,3.5,Yellow
Shelby County,OH,3.5,Yellow
Ashland County,OH,3.5,Yellow
Morgan County,OH,3.9,Yellow
Clark County,OH,4.0,Yellow
Medina County,OH,4.1,Yellow
Monroe County,OH,4.2,Yellow
Darke County,OH,4.2,Yellow
Guernsey County,OH,4.4,Yellow
Lorain County,OH,4.4,Yellow
Ross County,OH,4.5,Yellow
Sandusky County,OH,4.6,Yellow
Greene County,OH,4.8,Yellow
Preble County,OH,4.9,Yellow
Belmont County,OH,4.9,Yellow
Clermont County,OH,5.1,Yellow
Miami County,OH,5.1,Yellow
Lake County,OH,5.1,Yellow
Lucas County,OH,5.2,Yellow
Mercer County,OH,5.2,Yellow
Hardin County,OH,5.5,Yellow
Ottawa County,OH,5.6,Yellow
Athens County,OH,5.7,Yellow
Carroll County,OH,5.8,Yellow
Summit County,OH,6.2,Yellow
Wood County,OH,6.3,Yellow
Allen County,OH,6.4,Yellow
Pickaway County,OH,6.6,Yellow
Delaware County,OH,6.6,Yellow
Mahoning County,OH,6.6,Yellow
Van Wert County,OH,6.6,Yellow
Putnam County,OH,6.8,Yellow
Warren County,OH,6.9,Yellow
Butler County,OH,7.6,Yellow
Licking County,OH,7.8,Yellow
Fairfield County,OH,8.1,Yellow
Trumbull County,OH,9.4,Yellow
Montgomery County,OH,10.2,Orange
Tuscarawas County,OH,10.2,Orange
Coshocton County,OH,10.5,Orange
Holmes County,OH,13.3,Orange
Cuyahoga County,OH,13.3,Orange
Huron County,OH,13.7,Orange
Columbiana County,OH,14.9,Orange
Franklin County,OH,15.5,Orange
Hamilton County,OH,19.7,Orange
Beckham County,OK,0.0,Green
Alfalfa County,OK,0.0,Green
Cimarron County,OK,0.0,Green
Ellis County,OK,0.0,Green
Dewey County,OK,0.0,Green
Grant County,OK,0.0,Green
Harper County,OK,0.0,Green
Greer County,OK,0.0,Green
Major County,OK,0.0,Green
Roger Mills County,OK,0.0,Green
Statewide Unallocated,OK,0.0,Green
Woodward County,OK,0.7,Green
Le Flore County,OK,1.4,Yellow
Woods County,OK,1.6,Yellow
Craig County,OK,2.0,Yellow
Pittsburg County,OK,2.3,Yellow
Okfuskee County,OK,2.4,Yellow
Lincoln County,OK,2.5,Yellow
Coal County,OK,2.6,Yellow
Washita County,OK,2.6,Yellow
Love County,OK,2.8,Yellow
Pontotoc County,OK,3.0,Yellow
Hughes County,OK,3.2,Yellow
Garfield County,OK,3.3,Yellow
Stephens County,OK,3.3,Yellow
Washington County,OK,3.3,Yellow
Pottawatomie County,OK,3.5,Yellow
Johnston County,OK,3.9,Yellow
Tillman County,OK,3.9,Yellow
Noble County,OK,3.9,Yellow
Seminole County,OK,4.1,Yellow
Murray County,OK,4.1,Yellow
Nowata County,OK,4.3,Yellow
Pawnee County,OK,4.4,Yellow
Haskell County,OK,4.5,Yellow
Blaine County,OK,4.5,Yellow
Custer County,OK,4.9,Yellow
Cotton County,OK,5.0,Yellow
Cherokee County,OK,5.0,Yellow
Logan County,OK,5.1,Yellow
Sequoyah County,OK,5.2,Yellow
Kingfisher County,OK,5.4,Yellow
Beaver County,OK,5.4,Yellow
Caddo County,OK,5.5,Yellow
Mayes County,OK,5.6,Yellow
Texas County,OK,5.7,Yellow
Adair County,OK,5.8,Yellow
Atoka County,OK,6.2,Yellow
Comanche County,OK,6.5,Yellow
Kiowa County,OK,6.6,Yellow
Kay County,OK,6.6,Yellow
Muskogee County,OK,6.7,Yellow
Creek County,OK,7.0,Yellow
Jackson County,OK,7.6,Yellow
Canadian County,OK,7.6,Yellow
Rogers County,OK,8.2,Yellow
Osage County,OK,8.2,Yellow
Latimer County,OK,8.5,Yellow
Choctaw County,OK,8.8,Yellow
Pushmataha County,OK,9.0,Yellow
Grady County,OK,9.7,Yellow
Cleveland County,OK,10.1,Orange
Marshall County,OK,10.1,Orange
Harmon County,OK,10.8,Orange
Bryan County,OK,11.6,Orange
Jefferson County,OK,11.9,Orange
Garvin County,OK,11.9,Orange
Wagoner County,OK,12.0,Orange
McIntosh County,OK,12.4,Orange
Payne County,OK,12.6,Orange
Okmulgee County,OK,13.4,Orange
Carter County,OK,13.7,Orange
Delaware County,OK,14.3,Orange
Oklahoma County,OK,14.6,Orange
Ottawa County,OK,15.6,Orange
McClain County,OK,16.6,Orange
Tulsa County,OK,17.2,Orange
McCurtain County,OK,52.6,Red
Grant County,OR,0.0,Green
Harney County,OR,0.0,Green
Wheeler County,OR,0.0,Green
Statewide Unallocated,OR,0.0,Green
Coos County,OR,0.4,Green
Curry County,OR,0.6,Green
Clatsop County,OR,1.1,Yellow
Douglas County,OR,1.5,Yellow
Benton County,OR,1.8,Yellow
Crook County,OR,1.8,Yellow
Linn County,OR,1.9,Yellow
Columbia County,OR,2.7,Yellow
Jackson County,OR,2.8,Yellow
Lane County,OR,3.0,Yellow
Hood River County,OR,3.1,Yellow
Polk County,OR,3.3,Yellow
Yamhill County,OR,3.3,Yellow
Baker County,OR,3.5,Yellow
Deschutes County,OR,3.5,Yellow
Tillamook County,OR,3.7,Yellow
Josephine County,OR,3.9,Yellow
Wallowa County,OR,4.0,Yellow
Klamath County,OR,4.0,Yellow
Clackamas County,OR,5.0,Yellow
Multnomah County,OR,6.1,Yellow
Washington County,OR,7.1,Yellow
Marion County,OR,7.1,Yellow
Gilliam County,OR,7.5,Yellow
Lincoln County,OR,10.3,Orange
Lake County,OR,14.5,Orange
Wasco County,OR,15.0,Orange
Sherman County,OR,16.1,Orange
Union County,OR,18.1,Orange
Jefferson County,OR,20.9,Orange
Morrow County,OR,50.5,Red
Malheur County,OR,51.4,Red
Umatilla County,OR,53.1,Red
Bradford County,PA,0.0,Green
Fulton County,PA,0.0,Green
Forest County,PA,0.0,Green
Perry County,PA,0.0,Green
Statewide Unallocated,PA,0.0,Green
Somerset County,PA,0.4,Green
Clearfield County,PA,0.4,Green
Mifflin County,PA,0.6,Green
Wayne County,PA,0.6,Green
Warren County,PA,0.7,Green
Armstrong County,PA,1.1,Yellow
Tioga County,PA,1.1,Yellow
Snyder County,PA,1.1,Yellow
Wyoming County,PA,1.1,Yellow
Juniata County,PA,1.2,Yellow
Schuylkill County,PA,1.4,Yellow
Susquehanna County,PA,1.4,Yellow
Blair County,PA,1.5,Yellow
Union County,PA,1.6,Yellow
Potter County,PA,1.7,Yellow
Clinton County,PA,1.8,Yellow
McKean County,PA,1.8,Yellow
Indiana County,PA,2.0,Yellow
Greene County,PA,2.0,Yellow
Cambria County,PA,2.1,Yellow
Crawford County,PA,2.2,Yellow
Centre County,PA,2.3,Yellow
Luzerne County,PA,2.4,Yellow
Bedford County,PA,2.4,Yellow
Montour County,PA,2.4,Yellow
Venango County,PA,2.5,Yellow
Mercer County,PA,2.5,Yellow
Columbia County,PA,2.6,Yellow
Monroe County,PA,2.6,Yellow
Pike County,PA,2.6,Yellow
Berks County,PA,2.7,Yellow
Cumberland County,PA,2.8,Yellow
Huntingdon County,PA,2.8,Yellow
Carbon County,PA,2.9,Yellow
Lawrence County,PA,3.0,Yellow
Jefferson County,PA,3.0,Yellow
Cameron County,PA,3.2,Yellow
Erie County,PA,3.2,Yellow
Fayette County,PA,3.2,Yellow
Lackawanna County,PA,3.3,Yellow
Elk County,PA,3.3,Yellow
Adams County,PA,3.3,Yellow
Northampton County,PA,3.8,Yellow
Bucks County,PA,3.8,Yellow
Butler County,PA,3.9,Yellow
Franklin County,PA,4.0,Yellow
Montgomery County,PA,4.0,Yellow
Lehigh County,PA,4.1,Yellow
Northumberland County,PA,4.4,Yellow
Delaware County,PA,4.5,Yellow
Chester County,PA,4.7,Yellow
Lycoming County,PA,4.7,Yellow
York County,PA,4.9,Yellow
Clarion County,PA,5.2,Yellow
Lancaster County,PA,5.3,Yellow
Philadelphia County,PA,5.4,Yellow
Washington County,PA,5.8,Yellow
Lebanon County,PA,5.9,Yellow
Westmoreland County,PA,7.4,Yellow
Beaver County,PA,7.8,Yellow
Allegheny County,PA,11.6,Orange
Sullivan County,PA,11.8,Orange
Dauphin County,PA,12.9,Orange
Statewide Unallocated,RI,0.0,Green
Washington County,RI,1.7,Yellow
Bristol County,RI,2.7,Yellow
Kent County,RI,5.7,Yellow
Newport County,RI,6.4,Yellow
Providence County,RI,9.7,Yellow
Statewide Unallocated,SC,0.0,Green
Marlboro County,SC,9.8,Yellow
Chesterfield County,SC,10.6,Orange
Cherokee County,SC,10.7,Orange
Abbeville County,SC,12.2,Orange
Edgefield County,SC,13.1,Orange
Aiken County,SC,13.5,Orange
McCormick County,SC,13.6,Orange
Barnwell County,SC,13.7,Orange
Darlington County,SC,13.9,Orange
Anderson County,SC,15.1,Orange
Union County,SC,15.2,Orange
Oconee County,SC,15.4,Orange
Hampton County,SC,15.6,Orange
Clarendon County,SC,16.5,Orange
Spartanburg County,SC,18.8,Orange
Lancaster County,SC,19.2,Orange
York County,SC,19.7,Orange
Fairfield County,SC,20.5,Orange
Greenwood County,SC,20.8,Orange
Lee County,SC,21.2,Orange
Allendale County,SC,21.4,Orange
Dillon County,SC,22.0,Orange
Saluda County,SC,22.3,Orange
Calhoun County,SC,22.6,Orange
Pickens County,SC,22.7,Orange
Lexington County,SC,23.4,Orange
Chester County,SC,24.4,Orange
Williamsburg County,SC,24.5,Orange
Beaufort County,SC,25.0,Orange
Sumter County,SC,25.7,Red
Florence County,SC,25.8,Red
Colleton County,SC,26.9,Red
Jasper County,SC,27.1,Red
Kershaw County,SC,28.5,Red
Richland County,SC,28.5,Red
Newberry County,SC,28.6,Red
Greenville County,SC,30.6,Red
Berkeley County,SC,37.0,Red
Laurens County,SC,38.7,Red
Marion County,SC,39.1,Red
Orangeburg County,SC,40.8,Red
Dorchester County,SC,42.1,Red
Georgetown County,SC,50.8,Red
Bamberg County,SC,56.9,Red
Horry County,SC,60.3,Red
Charleston County,SC,78.8,Red
Aurora County,SD,0.0,Green
Bennett County,SD,0.0,Green
Butte County,SD,0.0,Green
Faulk County,SD,0.0,Green
Grant County,SD,0.0,Green
Harding County,SD,0.0,Green
Hand County,SD,0.0,Green
Haakon County,SD,0.0,Green
Jerauld County,SD,0.0,Green
Jackson County,SD,0.0,Green
Hyde County,SD,0.0,Green
Kingsbury County,SD,0.0,Green
Jones County,SD,0.0,Green
Lawrence County,SD,0.0,Green
Marshall County,SD,0.0,Green
Perkins County,SD,0.0,Green
Potter County,SD,0.0,Green
Sanborn County,SD,0.0,Green
Sully County,SD,0.0,Green
Ziebach County,SD,0.0,Green
Statewide Unallocated,SD,0.0,Green
Todd County,SD,1.4,Yellow
Turner County,SD,1.7,Yellow
Meade County,SD,2.0,Yellow
Fall River County,SD,2.1,Yellow
Bon Homme County,SD,2.1,Yellow
Lake County,SD,2.2,Yellow
Spink County,SD,2.2,Yellow
Brown County,SD,2.2,Yellow
Yankton County,SD,2.5,Yellow
Custer County,SD,3.2,Yellow
Deuel County,SD,3.3,Yellow
Edmunds County,SD,3.7,Yellow
Clark County,SD,3.8,Yellow
Hutchinson County,SD,3.9,Yellow
Moody County,SD,4.3,Yellow
Hamlin County,SD,4.6,Yellow
Minnehaha County,SD,4.8,Yellow
Davison County,SD,5.1,Yellow
Day County,SD,5.3,Yellow
McPherson County,SD,6.0,Yellow
Lincoln County,SD,6.1,Yellow
Miner County,SD,6.4,Yellow
Pennington County,SD,6.7,Yellow
Gregory County,SD,6.8,Yellow
Corson County,SD,7.0,Yellow
Clay County,SD,7.1,Yellow
Brookings County,SD,7.3,Yellow
McCook County,SD,7.7,Yellow
Tripp County,SD,7.9,Yellow
Stanley County,SD,9.2,Yellow
Dewey County,SD,9.7,Yellow
Campbell County,SD,10.4,Orange
Hughes County,SD,10.6,Orange
Union County,SD,10.8,Orange
Oglala Lakota County,SD,11.1,Orange
Codington County,SD,13.3,Orange
Beadle County,SD,13.9,Orange
Roberts County,SD,15.1,Orange
Walworth County,SD,15.8,Orange
Hanson County,SD,16.5,Orange
Douglas County,SD,24.5,Orange
Mellette County,SD,27.7,Red
Brule County,SD,29.7,Red
Charles Mix County,SD,32.3,Red
Buffalo County,SD,36.4,Red
Lyman County,SD,41.6,Red
Meigs County,TN,0.0,Green
Pickett County,TN,0.0,Green
Statewide Unallocated,TN,0.0,Green
Benton County,TN,0.9,Green
Lewis County,TN,1.2,Yellow
Unicoi County,TN,1.6,Yellow
Henry County,TN,1.8,Yellow
Scott County,TN,1.9,Yellow
Carter County,TN,2.5,Yellow
Morgan County,TN,2.7,Yellow
Hawkins County,TN,3.0,Yellow
Sullivan County,TN,3.1,Yellow
Bledsoe County,TN,3.8,Yellow
Coffee County,TN,4.0,Yellow
Lake County,TN,4.1,Yellow
Stewart County,TN,4.2,Yellow
Grundy County,TN,4.3,Yellow
Fentress County,TN,4.6,Yellow
Carroll County,TN,4.6,Yellow
White County,TN,4.7,Yellow
Franklin County,TN,4.7,Yellow
Decatur County,TN,4.9,Yellow
Washington County,TN,4.9,Yellow
Van Buren County,TN,4.9,Yellow
Lincoln County,TN,5.0,Yellow
Union County,TN,5.0,Yellow
Roane County,TN,5.1,Yellow
Cumberland County,TN,5.2,Yellow
Polk County,TN,5.9,Yellow
Greene County,TN,6.0,Yellow
Jackson County,TN,6.1,Yellow
Campbell County,TN,6.1,Yellow
Hickman County,TN,6.2,Yellow
Humphreys County,TN,6.2,Yellow
Weakley County,TN,6.4,Yellow
Hancock County,TN,6.5,Yellow
Monroe County,TN,6.8,Yellow
Overton County,TN,7.1,Yellow
Warren County,TN,7.3,Yellow
Giles County,TN,7.3,Yellow
Clay County,TN,7.5,Yellow
Blount County,TN,7.6,Yellow
Henderson County,TN,7.6,Yellow
Marion County,TN,7.9,Yellow
Montgomery County,TN,7.9,Yellow
Johnson County,TN,8.0,Yellow
Grainger County,TN,8.6,Yellow
Houston County,TN,8.7,Yellow
Perry County,TN,8.8,Yellow
Knox County,TN,8.9,Yellow
McMinn County,TN,9.0,Yellow
Anderson County,TN,9.7,Yellow
Crockett County,TN,10.0,Orange
Wayne County,TN,10.3,Orange
Loudon County,TN,10.3,Orange
Rhea County,TN,10.3,Orange
Madison County,TN,10.4,Orange
Hardin County,TN,10.6,Orange
Claiborne County,TN,10.7,Orange
Gibson County,TN,11.3,Orange
Maury County,TN,11.6,Orange
McNairy County,TN,11.7,Orange
Cannon County,TN,11.7,Orange
Jefferson County,TN,11.8,Orange
Obion County,TN,11.9,Orange
Tipton County,TN,12.1,Orange
Chester County,TN,12.4,Orange
Cheatham County,TN,12.6,Orange
Marshall County,TN,12.9,Orange
Moore County,TN,13.2,Orange
Dickson County,TN,13.2,Orange
DeKalb County,TN,13.9,Orange
Lawrence County,TN,16.2,Orange
Robertson County,TN,16.5,Orange
Sequatchie County,TN,17.1,Orange
Hamilton County,TN,17.9,Orange
Cocke County,TN,18.3,Orange
Wilson County,TN,21.3,Orange
Sumner County,TN,21.8,Orange
Williamson County,TN,22.1,Orange
Dyer County,TN,22.7,Orange
Haywood County,TN,24.8,Orange
Bedford County,TN,25.3,Red
